decile,count,defaults,default_rate,avg_pd,pct_defaults_captured
1,6151,1594,0.259144854495204,0.2661480655899234,0.3263718263718264
2,6150,928,0.15089430894308944,0.1464771297476522,0.5163800163800164
3,6150,655,0.10650406504065041,0.10399281320530389,0.6504914004914005
4,6150,513,0.08341463414634147,0.07868761843746845,0.7555282555282555
5,6150,365,0.05934959349593496,0.06119665537945562,0.8302620802620803
6,6151,276,0.04487075272313445,0.04816993762985411,0.8867731367731367
7,6150,185,0.03008130081300813,0.03806148932313953,0.9246519246519247
8,6150,173,0.028130081300813008,0.029518118141499385,0.9600737100737101
9,6150,104,0.016910569105691057,0.021682320946545663,0.9813677313677314
10,6151,91,0.0147943423833523,0.012761024194140715,1.0
